date,valeur,surfaceterrain,nblocmai,nblocapt,nblocdep,nblocact,sbati,typebien,iris,A,B,C,D,E,F,G,Total,jardin
2017-02-17,20000.0,0,0,0,0,1,36,ACTIVITE,14118_0301,78,11,1,24,0,1,4,119,0
2016-11-24,65000.0,0,0,1,0,0,20,UN APPARTEMENT,14118_0102,159,197,2,64,0,3,13,438,0
2016-05-03,47500.0,0,0,1,1,0,18,UN APPARTEMENT,14118_1301,58,13,3,27,1,2,0,104,0
2016-10-26,119000.0,0,0,1,1,0,55,UN APPARTEMENT,14118_2007,16,3,3,8,0,3,0,33,0
2016-07-25,58000.0,0,0,1,0,0,34,UN APPARTEMENT,14118_0102,159,197,2,64,0,3,13,438,0
2016-04-28,61000.0,0,0,1,0,0,29,UN APPARTEMENT,14118_1502,81,11,2,34,0,0,0,128,0
2017-12-27,90023.0,0,0,0,0,1,50,ACTIVITE,14118_0201,171,84,4,91,0,4,9,363,0
2018-05-22,669500.0,0,0,1,1,0,185,UN APPARTEMENT,14118_0202,122,79,4,74,3,1,7,290,0
2018-10-12,257000.0,0,0,1,0,0,88,UN APPARTEMENT,14118_0101,123,72,2,46,0,7,3,253,0
2018-04-19,80000.0,0,0,1,1,0,34,UN APPARTEMENT,14118_1503,35,12,7,54,0,6,0,114,0
2018-09-12,135000.0,0,0,1,1,0,51,UN APPARTEMENT,14118_1001,12,2,1,5,0,2,0,22,0
2017-11-22,64000.0,0,0,1,1,0,23,UN APPARTEMENT,14118_1503,35,12,7,54,0,6,0,114,0
2017-03-02,120000.0,0,0,1,1,0,51,UN APPARTEMENT,14118_2007,16,3,3,8,0,3,0,33,0
2017-09-18,127000.0,0,0,1,1,0,50,UN APPARTEMENT,14118_0802,36,5,3,39,0,0,0,83,0
2017-08-10,170000.0,0,0,1,0,0,91,UN APPARTEMENT,14118_0201,171,84,4,91,0,4,9,363,0
2017-10-26,98000.0,0,0,1,1,0,39,UN APPARTEMENT,14118_1503,35,12,7,54,0,6,0,114,0
2016-06-29,44500.0,0,0,1,0,0,13,UN APPARTEMENT,14118_0101,123,72,2,46,0,7,3,253,0
2019-01-24,59200.0,0,0,1,0,0,17,UN APPARTEMENT,14118_0102,159,197,2,64,0,3,13,438,0
2020-02-17,40200.0,0,0,1,0,0,27,UN APPARTEMENT,14118_1704,38,10,4,13,0,2,0,67,0
2018-07-05,935749.0,0,0,0,0,1,441,ACTIVITE,14118_1704,38,10,4,13,0,2,0,67,0
2020-01-02,314000.0,0,0,1,1,0,133,UN APPARTEMENT,14118_0201,171,84,4,91,0,4,9,363,0
2019-09-02,72000.0,0,0,1,0,0,15,UN APPARTEMENT,14118_0102,159,197,2,64,0,3,13,438,0
2020-02-14,402000.0,0,1,0,1,0,129,UNE MAISON,14118_1101,27,8,2,25,1,1,1,65,0
2020-02-18,500000.0,530,1,0,1,1,200,BATI MIXTE - LOGEMENT/ACTIVITE,14118_0303,24,8,1,22,0,0,1,56,1
2020-01-27,185000.0,130,1,0,0,0,97,UNE MAISON,14118_0702,32,8,4,28,1,8,0,81,1
2020-01-24,120000.0,351,1,0,0,0,50,UNE MAISON,14118_2002,17,4,2,8,0,18,1,50,1
2020-01-15,19000.0,0,0,0,1,0,0,UNE DEPENDANCE,14118_0202,122,79,4,74,3,1,7,290,0
2020-02-14,55000.0,0,0,1,1,0,19,UN APPARTEMENT,14118_0802,36,5,3,39,0,0,0,83,0
2020-01-02,137000.0,336,1,0,0,0,47,UNE MAISON,14118_1704,38,10,4,13,0,2,0,67,1
2020-02-04,87000.0,0,0,1,1,0,40,UN APPARTEMENT,14118_0803,41,14,1,31,0,1,0,88,0
2020-01-17,120000.0,0,0,1,0,0,64,UN APPARTEMENT,14118_0802,36,5,3,39,0,0,0,83,0
2020-02-06,385000.0,447,1,0,0,0,82,UNE MAISON,14118_0804,18,3,1,22,1,2,0,47,1
2018-09-19,113000.0,0,0,1,0,0,54,UN APPARTEMENT,14118_0201,171,84,4,91,0,4,9,363,0
2020-02-11,140000.0,0,0,0,0,1,75,ACTIVITE,14118_0202,122,79,4,74,3,1,7,290,0
2020-03-31,72570.0,0,0,1,0,0,29,UN APPARTEMENT,14118_1502,81,11,2,34,0,0,0,128,0
2020-02-06,106000.0,0,0,1,2,0,34,UN APPARTEMENT,14118_1402,29,4,9,9,0,3,2,56,0
2020-02-12,230000.0,594,1,0,0,0,70,UNE MAISON,14118_1503,35,12,7,54,0,6,0,114,1
2020-01-02,202600.0,0,0,1,0,0,70,UN APPARTEMENT,14118_0102,159,197,2,64,0,3,13,438,0
2020-01-22,212000.0,0,0,1,2,0,61,UN APPARTEMENT,14118_1601,60,54,2,35,1,7,5,164,0
2020-02-28,180000.0,0,0,1,0,0,88,UN APPARTEMENT,14118_0202,122,79,4,74,3,1,7,290,0
2019-02-01,211900.0,0,0,1,0,0,84,UN APPARTEMENT,14118_1202,21,5,1,15,0,1,1,44,0
2020-01-31,165000.0,0,0,1,0,0,82,UN APPARTEMENT,14118_0202,122,79,4,74,3,1,7,290,0
2020-02-14,167500.0,0,0,1,0,0,63,UN APPARTEMENT,14118_0502,24,3,3,4,0,1,0,35,0
2020-01-28,99500.0,0,0,1,0,0,58,UN APPARTEMENT,14118_0303,24,8,1,22,0,0,1,56,0
2020-01-03,145000.0,0,0,1,1,0,59,UN APPARTEMENT,14118_0102,159,197,2,64,0,3,13,438,0
2020-01-22,275500.0,0,0,1,1,0,110,UN APPARTEMENT,14118_1202,21,5,1,15,0,1,1,44,0
2020-02-07,90000.0,0,0,1,1,0,33,UN APPARTEMENT,14118_2007,16,3,3,8,0,3,0,33,0
2019-01-15,55000.0,0,0,1,1,0,27,UN APPARTEMENT,14118_1601,60,54,2,35,1,7,5,164,0
2019-08-07,55000.0,0,0,1,1,0,22,UN APPARTEMENT,14118_2007,16,3,3,8,0,3,0,33,0
2019-01-11,184500.0,0,0,1,1,0,79,UN APPARTEMENT,14118_0501,36,10,3,36,0,6,0,91,0
2019-08-14,149500.0,206,2,0,0,0,114,DES MAISONS,14118_0803,41,14,1,31,0,1,0,88,1
2019-08-14,149000.0,0,0,1,0,0,47,UN APPARTEMENT,14118_1502,81,11,2,34,0,0,0,128,0
2019-08-14,66000.0,0,0,1,1,0,32,UN APPARTEMENT,14118_1101,27,8,2,25,1,1,1,65,0
2019-02-08,99000.0,0,0,1,1,0,76,UN APPARTEMENT,14118_1401,10,4,1,9,0,1,0,25,0
2019-03-01,82000.0,0,0,1,0,0,34,UN APPARTEMENT,14118_1403,10,0,1,3,0,2,0,16,0
2019-01-18,97000.0,0,0,1,1,0,45,UN APPARTEMENT,14118_2007,16,3,3,8,0,3,0,33,0
2019-08-20,120000.0,0,0,1,1,0,81,UN APPARTEMENT,14118_1501,16,3,1,10,0,3,0,33,0
2019-02-28,292800.0,0,0,1,1,0,84,UN APPARTEMENT,14118_1502,81,11,2,34,0,0,0,128,0
2019-01-23,150000.0,0,0,1,1,0,67,UN APPARTEMENT,14118_0303,24,8,1,22,0,0,1,56,0
2019-08-12,110000.0,0,0,1,1,0,70,UN APPARTEMENT,14118_2004,15,3,1,2,0,1,0,22,0
2019-02-08,300000.0,605,1,0,0,0,154,UNE MAISON,14118_0903,7,2,1,8,0,0,1,19,1
2019-02-28,160500.0,0,0,1,1,0,60,UN APPARTEMENT,14118_0803,41,14,1,31,0,1,0,88,0
2019-01-28,161500.0,219,1,0,0,0,62,UNE MAISON,14118_1903,25,10,1,33,0,10,0,79,1
2019-01-03,70800.0,0,0,1,1,0,43,UN APPARTEMENT,14118_0904,7,0,0,15,1,0,0,23,0
2019-02-28,65500.0,0,0,1,0,0,19,UN APPARTEMENT,14118_0101,123,72,2,46,0,7,3,253,0
2019-01-11,50700.0,0,0,1,1,0,17,UN APPARTEMENT,14118_0803,41,14,1,31,0,1,0,88,0
2019-01-03,60000.0,0,0,1,0,0,63,UN APPARTEMENT,14118_1701,73,18,3,21,2,2,3,122,0
2019-03-01,67500.0,0,0,1,0,0,69,UN APPARTEMENT,14118_0303,24,8,1,22,0,0,1,56,0
2019-02-15,229000.0,0,0,1,1,0,100,UN APPARTEMENT,14118_0502,24,3,3,4,0,1,0,35,0
2019-02-22,90000.0,0,0,1,0,0,50,UN APPARTEMENT,14118_0401,31,8,0,12,0,1,1,53,0
2019-07-31,145000.0,74,1,0,0,0,60,UNE MAISON,14118_0301,78,11,1,24,0,1,4,119,1
2019-02-01,395000.0,385,1,0,0,0,130,UNE MAISON,14118_1001,12,2,1,5,0,2,0,22,1
2019-01-09,110000.0,0,0,1,1,0,62,UN APPARTEMENT,14118_0301,78,11,1,24,0,1,4,119,0
2019-01-02,110000.0,0,0,1,0,0,42,UN APPARTEMENT,14118_0201,171,84,4,91,0,4,9,363,0
2019-01-30,162500.0,0,0,1,0,0,55,UN APPARTEMENT,14118_0201,171,84,4,91,0,4,9,363,0
2019-11-25,237000.0,476,1,0,0,0,60,UNE MAISON,14118_1903,25,10,1,33,0,10,0,79,1
2019-02-11,52000.0,0,0,1,1,0,40,UN APPARTEMENT,14118_0701,13,5,1,12,0,3,0,34,0
2019-08-05,50250.0,0,0,1,0,0,19,UN APPARTEMENT,14118_0101,123,72,2,46,0,7,3,253,0
2019-08-19,337780.0,275,1,0,0,1,78,BATI MIXTE - LOGEMENT/ACTIVITE,14118_1702,35,16,1,17,0,0,2,71,1
2019-03-21,52000.0,0,0,1,1,0,19,UN APPARTEMENT,14118_1601,60,54,2,35,1,7,5,164,0
2019-01-09,44000.0,0,0,1,0,0,31,UN APPARTEMENT,14118_1301,58,13,3,27,1,2,0,104,0
2019-02-18,160000.0,0,0,1,0,0,66,UN APPARTEMENT,14118_0201,171,84,4,91,0,4,9,363,0
2019-01-16,290000.0,0,0,1,1,0,81,UN APPARTEMENT,14118_0501,36,10,3,36,0,6,0,91,0
2019-12-31,71000.0,0,0,1,0,0,55,UN APPARTEMENT,14118_0303,24,8,1,22,0,0,1,56,0
2019-01-28,104000.0,0,0,1,1,0,50,UN APPARTEMENT,14118_1703,19,5,0,80,0,5,0,109,0
2018-05-17,67500.0,0,0,1,1,0,22,UN APPARTEMENT,14118_2007,16,3,3,8,0,3,0,33,0
2019-01-02,260000.0,0,0,0,0,1,219,ACTIVITE,14118_0102,159,197,2,64,0,3,13,438,0
2018-07-17,141000.0,0,0,1,1,0,60,UN APPARTEMENT,14118_1503,35,12,7,54,0,6,0,114,0
2019-02-01,227000.0,0,0,1,0,0,83,UN APPARTEMENT,14118_0201,171,84,4,91,0,4,9,363,0
2019-01-11,66000.0,0,0,1,1,0,44,UN APPARTEMENT,14118_0801,11,3,2,13,1,5,0,35,0
2019-01-29,185000.0,422,1,0,0,0,93,UNE MAISON,14118_0903,7,2,1,8,0,0,1,19,1
2019-08-12,82500.0,0,0,2,0,0,71,DEUX APPARTEMENTS,14118_1202,21,5,1,15,0,1,1,44,0
2019-02-01,12500.0,0,0,0,1,0,0,UNE DEPENDANCE,14118_0802,36,5,3,39,0,0,0,83,0
2019-10-21,550000.0,880,1,0,0,0,325,UNE MAISON,14118_1001,12,2,1,5,0,2,0,22,1
2019-03-14,20000.0,0,0,1,0,0,45,UN APPARTEMENT,14118_0101,123,72,2,46,0,7,3,253,0
2019-01-04,159040.0,0,0,1,0,0,64,UN APPARTEMENT,14118_1202,21,5,1,15,0,1,1,44,0
2019-01-03,290700.0,160,1,0,0,0,125,UNE MAISON,14118_0702,32,8,4,28,1,8,0,81,1
2019-05-09,1000000.0,270,1,0,0,1,516,BATI MIXTE - LOGEMENT/ACTIVITE,14118_0102,159,197,2,64,0,3,13,438,1
2019-01-29,410000.0,0,0,1,1,0,140,UN APPARTEMENT,14118_0201,171,84,4,91,0,4,9,363,0
2019-01-04,83000.0,0,0,1,1,0,45,UN APPARTEMENT,14118_1402,29,4,9,9,0,3,2,56,0
2019-01-04,70000.0,0,0,1,1,0,26,UN APPARTEMENT,14118_1503,35,12,7,54,0,6,0,114,0
2018-03-30,80000.0,0,0,1,0,0,48,UN APPARTEMENT,14118_0102,159,197,2,64,0,3,13,438,0
2019-08-29,52000.0,0,0,1,0,0,25,UN APPARTEMENT,14118_1701,73,18,3,21,2,2,3,122,0
2019-01-14,82000.0,0,0,1,0,0,44,UN APPARTEMENT,14118_1501,16,3,1,10,0,3,0,33,0
2019-08-16,420000.0,398,1,0,0,0,203,UNE MAISON,14118_1704,38,10,4,13,0,2,0,67,1
2019-01-21,211000.0,0,0,1,2,0,72,UN APPARTEMENT,14118_1503,35,12,7,54,0,6,0,114,0
2019-02-01,87000.0,0,0,1,1,0,41,UN APPARTEMENT,14118_2007,16,3,3,8,0,3,0,33,0
2019-01-22,63000.0,0,0,1,0,0,45,UN APPARTEMENT,14118_1704,38,10,4,13,0,2,0,67,0
2019-01-10,432000.0,78,1,0,0,1,127,BATI MIXTE - LOGEMENT/ACTIVITE,14118_0102,159,197,2,64,0,3,13,438,1
2019-11-20,70000.0,0,0,1,1,0,52,UN APPARTEMENT,14118_1703,19,5,0,80,0,5,0,109,0
2019-02-27,114000.0,0,0,1,0,0,54,UN APPARTEMENT,14118_1903,25,10,1,33,0,10,0,79,0
2019-01-08,188000.0,0,0,1,1,0,70,UN APPARTEMENT,14118_1502,81,11,2,34,0,0,0,128,0
2019-08-27,107500.0,0,0,1,1,0,40,UN APPARTEMENT,14118_2007,16,3,3,8,0,3,0,33,0
2019-02-28,55500.0,0,0,1,0,0,20,UN APPARTEMENT,14118_0301,78,11,1,24,0,1,4,119,0
2019-02-19,101000.0,0,0,1,0,0,65,UN APPARTEMENT,14118_0301,78,11,1,24,0,1,4,119,0
2019-02-12,172000.0,362,1,0,0,0,78,UNE MAISON,14118_1702,35,16,1,17,0,0,2,71,1
2019-02-20,69000.0,0,0,1,1,0,51,UN APPARTEMENT,14118_0701,13,5,1,12,0,3,0,34,0
2019-01-25,50000.0,0,0,1,1,0,18,UN APPARTEMENT,14118_2006,23,3,3,29,1,6,2,67,0
2019-01-24,110000.0,0,0,1,1,1,88,BATI MIXTE - LOGEMENT/ACTIVITE,14118_1701,73,18,3,21,2,2,3,122,0
